tile_id,x,y,people,pvhe
6753,21,66,6,0.0012214907811086
6754,22,66,4,0.0012214907811086
6755,23,66,393,-0.005815976532802486
6756,24,66,741,-0.02141624259706804
6757,25,66,11,-0.0491796003841052
6758,26,66,826,-0.05357287068270887
6759,27,66,1821,-0.05185677141098098
6760,28,66,1067,-0.028080786332812118
6761,29,66,1121,-0.0556436690187594
6766,34,66,293,-0.0621619308303982
6767,35,66,738,-0.05873718728606227
6768,36,66,453,-0.06571419446808004
6769,37,66,6,-0.06102300066464442
6771,39,66,5,-0.06526098725802636
6772,40,66,81,-0.0508070428426599
6773,41,66,96,-0.04484068899899317
6775,43,66,5,-0.07083113589448672
6776,44,66,34,-0.0728235893464115
6777,45,66,169,-0.09071523517097724
6778,46,66,2295,-0.08144891366215201
6779,47,66,3928,-0.07716068409519715
6780,48,66,1631,-0.08187153360585532
6781,49,66,2749,-0.040398489525253795
6782,50,66,1002,-0.056605544640210115
6783,51,66,993,-0.06268444124874198
6784,52,66,254,-0.04193308593721469
6785,53,66,26,-0.03148993855800883
6787,55,66,5,-0.0405438493547805
6788,56,66,1,-0.04386545307782914
6789,57,66,97,-0.025465252348072752
6790,58,66,5,-0.0162233560065123
6792,60,66,17,-0.0162233560065123
6793,61,66,96,-0.0162233560065123
6794,62,66,274,-0.0162233560065123
6845,11,67,5,-0.01291449849181567
6846,12,67,10,-0.019163389487775934
6847,13,67,15,-0.023096362653907125
6849,15,67,5,-0.0009866500750733012
6850,16,67,18,0.00262774842377786
6851,17,67,10,0.0031530211197335
6852,18,67,83,0.0031530211197335
6853,19,67,107,0.0033647189965472736
6854,20,67,18,0.004987106370942387
6855,21,67,192,0.0012868020808659043
6856,22,67,79,-0.0033639799760374865
6857,23,67,348,-0.019871033453319004
6858,24,67,79,-0.0236261459360842
6860,26,67,1451,-0.0511134894660846
6861,27,67,2199,-0.05124934577917904
6862,28,67,2132,-0.05088950454947661
6863,29,67,1295,-0.053926527356939306
6868,34,67,1327,-0.05184797212585005
6869,35,67,1706,-0.04286612235933289
6870,36,67,1484,-0.06605946480111394
6871,37,67,33,-0.0652760030949258
6872,38,67,1,-0.0652760030949258
6873,39,67,18,-0.06054750033695642
6874,40,67,7,-0.03840155661280683
6875,41,67,133,-0.036903885179082725
6877,43,67,1,-0.03761887878576719
6878,44,67,16,-0.06623207352728756
6879,45,67,347,-0.08192858068536354
6880,46,67,2323,-0.07087938428904003
6881,47,67,2611,-0.07330106966101638
6882,48,67,2211,-0.04827990876969188
6883,49,67,3522,-0.037766992824274634
6884,50,67,1081,-0.051268914259061917
6885,51,67,325,-0.06068570883958019
6886,52,67,179,-0.05992915922890858
6890,56,67,1,-0.0337542566900104
6891,57,67,6,-0.04259142160485392
6892,58,67,6,-0.03559908576155038
6893,59,67,12,-0.018212112581123017
6894,60,67,105,-0.0162233560065123
6895,61,67,2,-0.0162233560065123
6897,63,67,1,-0.0162233560065123
6941,5,68,5,-0.0089208748462834
6942,6,68,13,-0.0089208748462834
6943,7,68,11,-0.0089208748462834
6944,8,68,21,-0.0089208748462834
6945,9,68,22,-0.0089208748462834
6946,10,68,23,-0.0089208748462834
