tile_id,x,y,people,hc1,hc2,pvhe
2610,20,35,2,0.05384792,0.0029684838,-0.0406093326475094
2611,21,35,9,0.25119683,0.014556112,-0.05569885212138935
2612,22,35,27,0.77665746,0.04442732,-0.06054827311814227
2613,23,35,22,0.65305173,0.037739296,-0.04924690484416279
2614,24,35,2,0.0614964,0.0036539617,-0.06999325591823084
2615,25,35,23,0.73772484,0.04676616,-0.06241821395996084
2616,26,35,28,0.95353836,0.07488436,-0.048909711857668785
2617,27,35,1745,64.49939,7.8346777,-0.05846036040866587
2618,28,35,1841,72.21092,9.881376,-0.05355478712670567
2619,29,35,1705,69.209435,9.477479,-0.059416524758034446
2620,30,35,1657,68.56225,9.167432,-0.0662506205092155
2621,31,35,1181,49.12806,6.0434995,-0.0747801548164842
2622,32,35,1805,75.6825,9.396732,-0.07334998215502232
2623,33,35,1154,48.540268,5.582382,-0.07253868224637082
2624,34,35,1552,65.949066,7.840035,-0.06544746837869132
2625,35,35,726,30.736586,3.268365,-0.058511977179975944
2626,36,35,1254,53.2462,5.8118124,-0.06228229190190692
2627,37,35,1225,52.039635,5.676195,-0.08259849531307942
2628,38,35,872,36.65373,3.6695597,-0.08130697290863864
2629,39,35,773,32.06755,2.947171,-0.06274700859681132
2630,40,35,554,22.764381,1.9711947,-0.06476136105314399
2631,41,35,665,27.135128,2.3165257,-0.06720187742146248
2632,42,35,672,27.161772,2.214732,-0.06673106026900474
2633,43,35,414,16.542423,1.2299227,-0.06516270920961544
2634,44,35,235,9.291341,0.6341618,-0.06091447671964647
2635,45,35,144,5.6414576,0.3586613,-0.05541585129214417
2636,46,35,46,1.7907073,0.1068584,-0.05386215238449292
2637,47,35,134,5.2298307,0.3245077,-0.05352384524658466
2638,48,35,163,6.422353,0.42851064,-0.04123679722121782
2639,49,35,403,16.154322,1.2367052,-0.052922282820652526
2640,50,35,590,24.146591,2.1008785,-0.04743701572411381
2641,51,35,953,39.936337,4.0285773,-0.05274730867171695
2642,52,35,1081,46.100296,5.0535064,-0.07515548486002428
2643,53,35,1604,69.55994,8.655981,-0.07553207989401141
2644,54,35,1709,73.977394,9.43344,-0.07767704391521407
2645,55,35,593,25.057693,2.790634,-0.08646763758245656
2646,56,35,1115,46.487175,5.48771,-0.08269958487064827
2647,57,35,1390,57.088745,7.1454325,-0.07512809872379184
2648,58,35,1388,55.811184,7.282947,-0.07691100318456978
2649,59,35,1888,73.35329,9.951761,-0.07767666548692023
2650,60,35,1083,39.22903,4.388524,-0.07160528431566995
2651,61,35,97,3.2146828,0.24334551,-0.05723859668007379
2652,62,35,1,0.030734643,0.0017860616,-0.0443364911870876
2654,64,35,1,0.027221764,0.0012143349,-0.0443364911870876
2655,65,35,10,0.25747785,0.01034922,-0.04464455319131039
2656,66,35,7,0.17084332,0.0062005213,-0.05215726992006231
2657,67,35,7,0.16232327,0.0053399885,-0.0627898793019142
2675,11,36,23,0.43602097,0.016645886,-0.0418937096344599
2676,12,36,23,0.4616842,0.022007532,-0.03497213601673764
2677,13,36,174,3.7038987,0.22364354,-0.048996450429477936
2678,14,36,299,6.7386274,0.49685103,-0.034925704423777126
2679,15,36,854,20.239504,1.8419718,-0.022105091782837833
2680,16,36,403,9.69062,0.7056741,-0.04612451331914723
2683,19,36,11,0.28520146,0.01584022,-0.05069796078830452
2684,20,36,330,8.990426,0.6349553,-0.04221891128097073
2685,21,36,531,15.05227,1.1586999,-0.05550075619133989
2686,22,36,11,0.3196365,0.021161601,-0.06088865633578006
2687,23,36,312,9.373283,0.6564424,-0.058500209421904883
2688,24,36,591,18.466589,1.4257174,-0.034842528236716755
2689,25,36,180,5.845364,0.44055483,-0.05313677298107836
2690,26,36,769,26.422445,2.44337,-0.058206522139034426
2691,27,36,830,30.480076,3.4214187,-0.06077651138973282
2692,28,36,2323,91.47037,13.23501,-0.05655480814184216
2693,29,36,1567,64.00921,9.12767,-0.06115412226861069
2694,30,36,1686,70.23255,9.825068,-0.05572004530508342
2695,31,36,1254,52.411453,6.7031603,-0.06663022909656026
2696,32,36,1055,44.014793,5.1459417,-0.07162786813397744
2697,33,36,415,17.300476,1.8235363,-0.07681862269636672
2698,34,36,1533,64.92643,7.7542224,-0.06882174862979883
2699,35,36,1220,51.520557,5.7138634,-0.06531719749749902
2700,36,36,547,22.936073,2.2632992,-0.0729186776937559
2701,37,36,894,37.529278,3.7883067,-0.07745597327428186
2702,38,36,945,39.439457,3.8403869,-0.07594769188335077
2703,39,36,313,12.907722,1.1135131,-0.06225060686720635
2704,40,36,1076,44.23096,4.0575466,-0.0733684386761992
2705,41,36,663,26.882235,2.1932373,-0.06465406433200462
2706,42,36,212,8.477458,0.59804773,-0.06413168304857386
2707,43,36,191,7.6048627,0.527332,-0.06377382653729405
2708,44,36,558,22.268826,1.6890265,-0.060802496068252956
2709,45,36,567,22.524044,1.6677315,-0.058664420931903175
2710,46,36,151,5.951027,0.3934029,-0.05712738156243596
2711,47,36,391,15.445862,1.0693172,-0.05069976133658895
2712,48,36,426,16.940508,1.2170614,-0.047936667048544886
2713,49,36,423,17.041523,1.3042786,-0.05342568524451277
2714,50,36,687,28.327623,2.5259924,-0.056182606563779984
2715,51,36,1306,55.31124,5.8690295,-0.06606873957528167
2716,52,36,760,32.66523,3.5264013,-0.08014994761408897
2717,53,36,1348,58.945847,7.238643,-0.07420810570732819
2718,54,36,1700,74.50192,9.721811,-0.07996020153750365
2719,55,36,1207,51.762993,6.204674,-0.09257316040253252
2720,56,36,1139,47.951202,5.714663,-0.08354898661383245
2721,57,36,1197,49.538933,6.1184373,-0.08158841933710118
2722,58,36,1456,59.045746,7.745551,-0.0836752886118781
2723,59,36,1392,54.36921,7.0723763,-0.07912758491533875
2724,60,36,907,33.19949,3.726886,-0.07704770198409305
2725,61,36,293,9.866616,0.82121575,-0.06883879103948659
2726,62,36,81,2.5302768,0.16518791,-0.05966477219712044
2727,63,36,63,1.8454138,0.104097,-0.07881918607496996
2728,64,36,63,1.7384113,0.08714414,-0.07132632217703626
2729,65,36,22,0.5723093,0.024624338,-0.04652551297079238
2730,66,36,42,1.0335636,0.03962261,-0.06291224430939
2731,67,36,6,0.14004067,0.004717682,-0.06291224430939
2732,68,36,12,0.26660597,0.008221243,-0.056877927820296464
2733,69,36,5,0.106014445,0.0029999497,-0.045377367810816555
2749,11,37,2,0.037344642,0.0012054894,-0.043204060218256825
2753,15,37,366,8.378665,0.5642716,-0.0515466648895063
2754,16,37,103,2.4114876,0.1369324,-0.05045528162234948
2756,18,37,77,1.9051958,0.09823508,-0.05611317189324521
2757,19,37,512,13.3690195,0.9513349,-0.06096263297268472
2758,20,37,1050,29.042656,2.7015305,-0.06126024812680121
2759,21,37,1046,30.145,2.9357069,-0.06726112623493646
2760,22,37,1015,30.079845,2.7860813,-0.05496509676846719
2761,23,37,353,10.706914,0.8541046,-0.05196946540309294
2762,24,37,572,17.99272,1.5269283,-0.04783199292481888
2763,25,37,854,27.898731,2.502494,-0.05903632080898089
2764,26,37,542,18.400122,1.6221094,-0.06291362173548623
2765,27,37,677,24.20111,2.380269,-0.05477222572563315
2766,28,37,972,36.97599,4.405793,-0.03227971432874768
2767,29,37,2593,104.62099,15.598923,-0.036921094623389474
2768,30,37,2015,83.15822,11.932295,-0.033901519457347776
2769,31,37,1958,81.371414,11.03793,-0.05576455320349683
2770,32,37,979,40.314854,4.57319,-0.06705489607765015
2771,33,37,1017,41.97101,4.548939,-0.0776389028519149
2772,34,37,1503,62.668762,7.148847,-0.06278156729832432
2773,35,37,838,34.776096,3.5317175,-0.0642400697900027
2774,36,37,682,28.240738,2.6962936,-0.07389535107215245
2775,37,37,930,38.568222,3.7109435,-0.0761947714615469
2776,38,37,663,27.3437,2.4539979,-0.06862894570219488
2777,39,37,879,36.081806,3.1839526,-0.06422396481087649
2778,40,37,626,25.475155,2.087731,-0.06505465797257996
2779,41,37,18,0.72061044,0.048399888,-0.07171267820454003
2781,43,37,284,11.3428135,0.7948478,-0.06448966805625113
2782,44,37,867,35.00365,2.9114077,-0.06594384903109786
2783,45,37,516,20.744455,1.621571,-0.06604395409936106
2784,46,37,464,18.544083,1.3697795,-0.0594563144821631
2785,47,37,444,17.727459,1.2951393,-0.05246657426789624
2786,48,37,312,12.46493,0.87455606,-0.05713982052899748
2787,49,37,155,6.2460074,0.44129792,-0.052671713645793976
2788,50,37,443,18.253197,1.5064933,-0.061684988194049196
2789,51,37,745,31.532309,3.0759966,-0.06685964666243097
2790,52,37,1032,44.658974,4.9156685,-0.08191371235719179
2791,53,37,1261,55.440544,6.7402573,-0.07741078639285986
2792,54,37,1723,75.84581,9.76379,-0.08634039138232992
2793,55,37,668,28.710344,3.2626896,-0.08885387287332586
2794,56,37,1116,47.062965,5.479273,-0.08400077942459708
2795,57,37,1099,45.38402,5.399956,-0.09118950886870067
2796,58,37,1799,72.77129,9.48864,-0.09217533478943393
2797,59,37,1769,69.085915,9.10791,-0.07538279422810351
2798,60,37,1898,70.1757,8.797584,-0.07679368500126368
2799,61,37,765,26.114828,2.4728525,-0.08117143425522402
2800,62,37,695,22.108564,1.7763909,-0.08049850162304185
2801,63,37,521,15.565265,1.1045868,-0.06833772675547678
2802,64,37,414,11.645431,0.73811585,-0.06716449856214786
2803,65,37,106,2.7935932,0.13669115,-0.056812530963110806
2804,66,37,45,1.1170814,0.04536896,-0.06291224430939
2805,67,37,11,0.25840157,0.00901072,-0.06291224430939
2806,68,37,30,0.67000693,0.021315834,-0.06291224430939
2807,69,37,22,0.4685486,0.013648769,-0.062105386083333554
2808,70,37,20,0.4072581,0.010986522,-0.0581699439036039
2809,71,37,12,0.23412484,0.0058471486,-0.05488993264677122
2810,72,37,5,0.09364885,0.0021724508,
2823,11,38,1,0.01846372,0.0005532136,-0.0432030757131702
2824,12,38,4,0.07747183,0.0026657279,-0.05112604145344335
2826,14,38,29,0.6234895,0.031696323,-0.052891492304955504
2827,15,38,143,3.223444,0.19749479,-0.036833013990576015
2828,16,38,64,1.4773831,0.07892097,-0.03834886880926603
2829,17,38,1,0.023583338,0.0010745685,-0.042894853779195545
2830,18,38,5,0.12207523,0.005788235,-0.049435731832911445
2831,19,38,202,5.1875973,0.31882963,-0.05836105255412648
2832,20,38,503,13.652011,1.0779787,-0.06665790909363106
2833,21,38,539,15.282808,1.306897,-0.0641070205881122
2834,22,38,476,13.940055,1.1705778,-0.045742167719561785
2835,23,38,647,19.57515,1.6874753,-0.04719913662463574
2836,24,38,851,26.602081,2.3725145,-0.0546268437701929
2837,25,38,563,18.065521,1.4874706,-0.06059301346990816
2838,26,38,224,7.387588,0.54835147,-0.0640417433786088
2839,27,38,271,9.327891,0.7470088,-0.058257766726455884
2840,28,38,443,16.060265,1.5043373,-0.04542639997524601
